,maxdegree_1,maxdegree_2,maxdegree_3,maxdegree_4,sector_1,sector_2,sector_3,sector_4,sector_5,regio_1,regio_2,regio_3,regio_4,n_founders,founding_age,n_investors,n_fund_rounds,avrg_inv_per_round,n_leadinvestors,leadinv_rate,years_till_firstfund,total_funding,%_first_funding_of_total,female_founders,founders_experience,has_valuation,has_moneyraised_data,alpha_bench,alpha_bench_binary,Cluster
Vaccinex,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0.6730769230769231,0.01666666666666667,0.1818181818181818,0.0,0.05263157894736842,0.3333333333333333,0.5517241379310345,0.0006183343978500639,0.39999999987786267,0,0.1111111111111111,1,1,-0.53,0,1
SINA Corporation,1,0,0,0,0,0,1,0,0,0,0,1,0,4,0.0,0.06666666666666667,0.1818181818181818,0.125,0.10526315789473684,0.6666666666666666,0.0,0.002951836016767075,0.06993006974074273,0,0.0,0,0,-0.69,0,1
Sierra Oncology,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0.30769230769230765,0.15,0.5454545454545454,0.106875,0.10526315789473684,0.2857142857142857,0.0,0.004010438401496166,0.007978877741737613,1,0.1111111111111111,1,1,-0.589,0,1
Gevo,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0.5,0.19166666666666668,0.36363636363636365,0.2375,0.15789473684210525,0.6,0.0,0.003821633298676701,0.0054019012084934055,1,0.2222222222222222,0,1,-0.182,0,1
Jia.com,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0.1538461538461539,0.08333333333333333,0.1818181818181818,0.166875,0.15789473684210525,1.0,0.10344827586206896,0.00794470718005952,0.21565606611693175,0,0.0,1,1,-0.237,0,1
BiondVax,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,5.251188140470014e-05,1.0000000000000002,0,0.1111111111111111,0,1,-0.12,0,0
SINTX Technologies,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.019230769230769218,0.06666666666666667,0.5454545454545454,0.018125000000000002,0.15789473684210525,0.42857142857142855,0.27586206896551724,0.005119927476679438,0.09572966633473587,0,0.1111111111111111,0,1,-0.532,0,1
51 Credit Card Manager,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.2115384615384615,0.1,0.2727272727272727,0.140625,0.21052631578947367,1.0,0.0,0.018955940081613862,1.9750868924100127e-09,0,0.4444444444444444,1,1,-0.514,0,1
Immotion Group plc,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0.2115384615384615,0.008333333333333333,0.09090909090909091,0.0,0.05263157894736842,0.5,0.0,0.00010005980600271647,0.7145516420388429,0,0.0,1,1,-0.253,0,0
Isodiol,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.36538461538461536,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0010313435339415703,1.0000000000000002,0,0.0,0,0,-0.484,0,0
AwoX,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.30769230769230765,0.025,0.0,0.1875,0.0,0.0,0.1724137931034483,0.00020821632571119806,1.0000000000000002,0,0.2222222222222222,0,0,-0.402,0,0
CrossFirst Bank,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.09615384615384615,0.06666666666666667,0.6363636363636364,0.008124999999999993,0.0,0.0,0.10344827586206896,0.001860124961147776,0.166408150840822,0,0.2222222222222222,1,1,-0.211,0,1
Kodiak Sciences,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0.30769230769230765,0.025,0.1818181818181818,0.020625000000000004,0.05263157894736842,0.3333333333333333,0.0,0.002841562577430643,0.026587243736180786,0,0.1111111111111111,1,1,-0.393,0,1
Trevi Therapeutics,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0.6153846153846154,0.13333333333333333,0.4545454545454545,0.114375,0.21052631578947367,0.6666666666666666,0.034482758620689655,0.00419201985062265,0.09849499627066767,1,0.1111111111111111,1,1,-0.623,0,1
Silly Monks Entertainment Limited,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0.3461538461538462,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,1.7323503009703802e-05,1.0000000000000002,0,0.1111111111111111,0,1,-0.341,0,0
Resonant Inc,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0.7115384615384617,0.008333333333333333,0.09090909090909091,0.0,0.0,0.0,0.0,0.00028792713027777245,1.4265356013730313e-07,0,0.1111111111111111,1,1,-0.088,0,1
Chimerix,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.7307692307692308,0.225,0.6363636363636364,0.15625,0.2631578947368421,0.625,0.0,0.007096348748094355,0.005819055853857744,0,0.3333333333333333,1,1,-0.204,0,1
Douyu TV,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.17307692307692307,0.06666666666666667,0.2727272727272727,0.078125,0.2631578947368421,1.0,0.034482758620689655,0.04657914162296422,0.01773320248531046,0,0.3333333333333333,1,1,-0.202,0,1
Domo,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.30769230769230765,0.5333333333333333,0.6363636363636364,0.44562500000000005,0.2631578947368421,0.625,0.0,0.028481995846865373,0.0009425083127101145,0,0.6666666666666666,1,1,-0.3,0,1
Google,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0.07692307692307693,0.1,0.1818181818181818,0.208125,0.10526315789473684,0.6666666666666666,0.0,0.0014897836750031423,0.03047091393006422,0,0.3333333333333333,1,1,-0.027,0,1
ESSA Pharma,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0.653846153846154,0.0,0.0,0.0,0.05263157894736842,1.0,0.27586206896551724,4.8381790043785075e-05,1.0000000000000002,1,0.2222222222222222,0,0,-0.531,0,0
Intec Pharma,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0.2692307692307692,0.008333333333333333,0.0,0.0625,0.05263157894736842,1.0,0.4482758620689655,0.0002053252617585575,1.0000000000000002,0,0.1111111111111111,0,1,-0.216,0,0
Kaleido BioSciences,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0.44230769230769235,0.04166666666666667,0.1818181818181818,0.0625,0.0,0.0,0.0,0.006834121896027235,0.02719033212825658,0,1.0,1,1,-0.383,0,1
PINTEC,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.4230769230769231,0.03333333333333333,0.0,0.25,0.05263157894736842,1.0,0.06896551724137931,0.00425281479545532,1.0000000000000002,1,0.3333333333333333,1,1,-0.454,0,0
Etsy,1,0,0,0,0,1,0,0,0,0,1,0,0,4,0.03846153846153849,0.21666666666666667,0.5454545454545454,0.17875,0.21052631578947367,0.5714285714285714,0.0,0.004015587634201301,0.004112851174619454,0,0.1111111111111111,1,1,-0.59,0,1
MYOMO,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.4615384615384616,0.03333333333333333,0.36363636363636365,0.0,0.05263157894736842,0.2,0.1724137931034483,0.0005653356199748254,0.04496431901642504,1,0.3333333333333333,0,1,-0.704,0,1
RumbleON,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0.19230769230769235,0.0,0.0,0.0,0.0,0.0,0.24137931034482757,0.00030857754578143414,1.0000000000000002,0,0.1111111111111111,1,1,-0.106,0,0
